"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"08/02/2022","1020.25","1030.25","966.5","1007","0.9777","1.1988","5,759,928"
"08/01/2022","1013","1023.5","964","997.25","0.1506","0.3717","5,015,672"
"07/29/2022","1036.75","1051.75","986.25","995.75","-5.4593","-5.2382","4,732,772"
"07/28/2022","1087","1127.5","1046.75","1053.25","-3.0826","-2.8615","4,502,604"
"07/27/2022","1182.25","1189.9825","1061.775","1086.75","-12.3942","-12.1731","5,163,596"
"07/26/2022","1193","1251.25","1190.125","1240.5","5.9577","6.1788","3,663,641"
"07/25/2022","1152.5","1195.9275","1146.75","1170.75","1.6276","1.8487","3,781,684"
"07/22/2022","1105","1172.5","1082.25","1152","5.2055","5.4266","4,856,300"
"07/21/2022","1138.75","1169.2475","1094.5","1095","-4.2832","-4.0621","4,779,216"
"07/20/2022","1195.5","1204.875","1128.83","1144","-4.9637","-4.7426","4,766,424"
"07/19/2022","1271.5","1294.25","1196.5525","1203.75","-8.962","-8.7409","4,049,228"
"07/18/2022","1252","1337.75","1233","1322.25","2.4206","2.6417","4,408,460"
"07/15/2022","1319","1344","1288.25","1291","-5.2998","-5.0787","3,976,529"
"07/14/2022","1417.375","1462.7475","1350.875","1363.25","-1.0704","-0.8493","4,586,740"
"07/13/2022","1451.25","1459","1343.25","1378","0.6207","0.8418","5,483,800"
"07/12/2022","1314","1392","1286.25","1369.5","2.8926","3.1137","4,128,664"
"07/11/2022","1282.75","1342.25","1279","1331","6.3949","6.616","3,558,416"
"07/08/2022","1292.75","1304.75","1232.75","1251","-0.4773","-0.2562","4,071,456"
"07/07/2022","1328.5","1328.5","1245.25","1257","-6.2815","-6.0603","3,161,454"
"07/06/2022","1361.5","1386.25","1310","1341.25","-1.8478","-1.6267","3,674,335"
"07/05/2022","1499.5","1523.5","1365.5","1366.5","-5.1371","-4.916","4,491,676"
"07/01/2022","1490.5","1521","1434.25","1440.5","-2.0734","-1.8523","4,207,444"
"06/30/2022","1462","1536.75","1415.5","1471","3.8658","4.0869","5,637,276"
"06/29/2022","1423","1460.75","1392.75","1416.25","-0.2114","0.0097","4,475,008"
"06/28/2022","1294.5","1422.75","1258.5","1419.25","9.1731","9.3942","4,713,320"
"06/27/2022","1254.5","1316","1247.75","1300","1.9408","2.1619","3,372,432"
"06/24/2022","1376.75","1379.75","1275","1275.25","-10.2726","-10.0515","3,468,035"
"06/23/2022","1445","1491","1405.5","1421.25","-4.2768","-4.0557","4,031,316"
"06/22/2022","1519.75","1528.5","1414","1484.75","0.3548","0.576","4,059,560"
"06/21/2022","1519","1520.75","1437.5","1479.5","-7.4734","-7.2523","3,276,114"
"06/17/2022","1644.5","1675.9975","1552.25","1599","-3.2229","-3.0018","4,915,264"
"06/16/2022","1593.75","1692.25","1585.7525","1652.25","11.6951","11.9162","5,204,240"
"06/15/2022","1538","1587","1409.5","1479.25","-7.3006","-7.0795","5,680,904"
"06/14/2022","1566.75","1644","1550.77","1595.75","-0.5918","-0.3707","4,823,148"
"06/13/2022","1545.25","1621.0025","1506.5","1605.25","13.6058","13.8269","6,229,200"
"06/10/2022","1349.25","1417","1334.0025","1413","10.7584","10.9795","5,553,064"
"06/09/2022","1201","1277.75","1165","1275.75","8.1144","8.3355","4,475,016"
"06/08/2022","1165.25","1190.5","1134.5","1180","2.0541","2.2752","3,043,311"
"06/07/2022","1226.375","1239.25","1146.75","1156.25","-2.529","-2.3079","3,843,756"
"06/06/2022","1145.25","1205.5","1126.25","1186.25","-1.0634","-0.8423","3,984,217"
"06/03/2022","1168.75","1212.5","1153.25","1199","7.7753","7.9964","4,994,408"
"06/02/2022","1225.25","1242.51","1110","1112.5","-8.2474","-8.0263","4,431,472"
"06/01/2022","1159.75","1237.5","1134.75","1212.5","2.5153","2.7364","5,011,744"
"05/31/2022","1175.375","1230.25","1150.5","1182.75","0.6382","0.8593","4,911,328"
"05/27/2022","1261.75","1263","1174.125","1175.25","-9.8735","-9.6524","3,916,116"
"05/26/2022","1433.25","1438.0175","1280.5","1304","-8.3304","-8.1093","3,963,396"
