"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"08/22/2024","36.43","36.58","33.96","34.19","-4.803","-5.0099","127,496,480"
"08/21/2024","35.59","36.33","35.2101","35.915","1.3689","1.162","103,000,720"
"08/20/2024","35.45","36.03","35.045","35.43","-0.6171","-0.824","97,858,960"
"08/19/2024","34.34","35.675","33.9425","35.65","3.8753","3.6684","91,599,840"
"08/16/2024","33.81","34.6275","33.595","34.32","0.2629","0.056","89,675,160"
"08/15/2024","33.065","34.315","32.9938","34.23","7.5232","7.3162","106,424,860"
"08/14/2024","31.995","32.3185","30.935","31.835","0.1731","-0.0339","124,710,580"
"08/13/2024","30.48","31.855","30.45","31.78","7.2743","7.0673","108,962,860"
"08/12/2024","29.615","30.2","29.0573","29.625","0.6797","0.4728","108,972,640"
"08/09/2024","28.72","29.765","28.5","29.425","1.3607","1.1537","125,592,380"
"08/08/2024","27.725","29.175","27.005","29.03","9.1559","8.9489","152,879,260"
"08/07/2024","28.785","29.255","26.5","26.595","-3.2205","-3.4274","182,751,640"
"08/06/2024","27.065","28.875","26.57","27.48","2.4991","2.2921","192,909,320"
"08/05/2024","24.665","28.0925","24.4","26.81","-8.7164","-8.9233","287,924,400"
"08/02/2024","29.825","30.3575","28.5","29.37","-7.2917","-7.4986","209,844,000"
"08/01/2024","34.29","35.11","30.852","31.68","-7.2056","-7.4125","210,693,200"
"07/31/2024","33.49","34.5","33.19","34.14","8.7434","8.5365","173,408,380"
"07/30/2024","33.14","33.2951","30.67","31.395","-4.0788","-4.2857","143,063,700"
"07/29/2024","33.135","33.5927","32.26","32.73","0.5839","0.377","115,640,880"
"07/26/2024","32.5","33.17","31.89","32.54","2.8608","2.6538","137,406,900"
"07/25/2024","32.78","33.67","31.065","31.635","-3.3308","-3.5377","188,128,000"
"07/24/2024","35.115","35.19","32.5225","32.725","-10.7824","-10.9894","159,575,240"
"07/23/2024","36.865","37.5635","36.57","36.68","-1.0787","-1.2857","87,127,100"
"07/22/2024","36.825","37.315","36.06","37.08","4.3625","4.1556","112,808,560"
"07/19/2024","36.4","36.985","35.22","35.53","-2.7108","-2.9178","118,249,640"
"07/18/2024","37.905","37.9599","35.775","36.52","-1.497","-1.7039","131,678,480"
"07/17/2024","38.665","38.785","37.045","37.075","-8.7946","-9.0015","142,840,020"
"07/16/2024","40.97","41.175","39.87","40.65","0.0739","-0.1331","83,637,600"
"07/15/2024","40.735","41.81","40.115","40.62","0.744","0.5371","109,900,480"
"07/12/2024","39.755","41.47","39.6475","40.32","1.6257","1.4188","101,019,760"
"07/11/2024","42.485","42.53","39.35","39.675","-6.5701","-6.777","149,328,980"
"07/10/2024","41.66","42.6","41.3353","42.465","3.133","2.926","77,554,860"
"07/09/2024","41.46","41.745","40.81","41.175","0.2191","0.0121","72,373,080"
"07/08/2024","40.905","41.2325","40.64","41.085","0.6615","0.4546","73,365,700"
"07/05/2024","39.785","40.925","39.715","40.815","3.0292","2.8222","79,624,560"
"07/03/2024","38.475","39.655","38.475","39.615","2.457","2.2501","56,150,480"
"07/02/2024","37.145","38.69","37.12","38.665","3.0654","2.8585","74,950,280"
"07/01/2024","37.08","37.645","36.2099","37.515","1.6391","1.4322","86,557,380"
"06/28/2024","37.645","38.765","36.7251","36.91","-1.5733","-1.7803","107,802,960"
"06/27/2024","37.16","37.8494","36.96","37.5","0.7252","0.5183","74,115,480"
"06/26/2024","36.8","37.35","36.705","37.23","0.2423","0.0354","72,549,540"
"06/25/2024","36.395","37.215","36.185","37.14","3.3389","3.132","78,608,660"
"06/24/2024","36.91","37.315","35.9001","35.94","-3.3871","-3.594","93,754,540"
"06/21/2024","37.45","37.765","36.861","37.2","-0.9189","-1.1258","77,712,940"
"06/20/2024","38.73","38.83","37.1105","37.545","-2.3537","-2.5606","105,455,080"
"06/18/2024","38.415","38.616","38.03","38.45","0.052","-0.1549","66,433,300"
"06/17/2024","37.14","38.86","36.835","38.43","3.6268","3.4199","93,354,600"
"06/14/2024","36.475","37.105","36.365","37.085","1.4499","1.2429","71,554,960"
"06/13/2024","36.785","36.9442","36.035","36.555","1.5981","1.3912","87,285,020"
"06/12/2024","35.505","36.51","35.36","35.98","3.9434","3.7365","124,402,680"
"06/11/2024","33.66","34.6594","33.33","34.615","2.064","1.8571","71,386,740"
"06/10/2024","33.295","34.0299","33.24","33.915","1.0578","0.8509","72,453,660"
"06/07/2024","33.56","34.1625","33.31","33.56","-0.3711","-0.578","89,943,340"
"06/06/2024","33.87","33.9375","33.425","33.685","-0.1186","-0.3255","73,031,100"
"06/05/2024","32.56","33.74","32.325","33.725","6.0368","5.8299","104,871,440"
"06/04/2024","31.5","32.065","31.135","31.805","0.7444","0.5375","88,491,820"
"06/03/2024","31.865","32.075","30.4809","31.57","0.9755","0.7686","111,434,960"
"05/31/2024","31.3","31.445","29.48","31.265","-0.1118","-0.3187","143,746,320"
"05/30/2024","32.125","32.1475","30.995","31.3","-3.2158","-3.4228","85,564,760"
"05/29/2024","32.12","32.72","32.1","32.34","-2.089","-2.2959","79,282,220"
"05/28/2024","32.93","33.05","32.4","33.03","1.0865","0.8795","83,186,320"
"05/24/2024","32.125","32.945","31.97","32.675","2.8001","2.5931","82,558,020"
"05/23/2024","33.25","33.255","31.4007","31.785","-1.4877","-1.6946","130,877,880"
"05/22/2024","32.345","32.5","31.71","32.265","-0.0619","-0.2689","80,039,380"
"05/21/2024","31.72","32.335","31.675","32.285","0.5137","0.3068","62,313,940"
"05/20/2024","31.51","32.265","31.4725","32.12","2.0655","1.8585","74,539,020"
"05/17/2024","31.545","31.6775","31.01","31.47","-0.2219","-0.4289","70,099,700"
"05/16/2024","31.68","32.1","31.495","31.54","-0.6145","-0.8214","87,715,240"
"05/15/2024","30.845","31.8075","30.53","31.735","4.6151","4.4082","130,481,440"
"05/14/2024","29.68","30.45","29.64","30.335","1.8637","1.6567","92,952,860"
"05/13/2024","29.96","29.985","29.4901","29.78","0.6591","0.4522","67,722,000"
"05/10/2024","29.68","30.0349","29.27","29.585","0.6806","0.4737","92,669,700"
"05/09/2024","29.25","29.4996","28.875","29.385","0.5475","0.3406","81,439,240"
"05/08/2024","28.75","29.5075","28.725","29.225","-0.1878","-0.3948","78,027,200"
"05/07/2024","29.36","29.615","29.1415","29.28","0","-0.2069","93,320,380"
"05/06/2024","28.71","29.3","28.5575","29.28","3.2804","3.0735","82,530,740"
"05/03/2024","28.165","28.555","27.865","28.35","5.9615","5.7546","150,878,040"
"05/02/2024","26.46","26.9225","25.6005","26.755","3.7016","3.4946","124,829,900"
"05/01/2024","26.075","27.4","25.635","25.8","-2.1523","-2.3592","208,076,800"
"04/30/2024","27.65","27.9249","26.3657","26.3675","-5.7294","-5.9363","125,248,580"
"04/29/2024","28.04","28.1651","27.4375","27.97","1.1939","0.987","102,354,960"
"04/26/2024","27.015","27.935","26.885","27.64","4.5979","4.391","135,994,640"
"04/25/2024","25.45","26.595","25.24","26.425","-1.6012","-1.8081","172,827,300"
"04/24/2024","27.16","27.455","26.4159","26.855","0.9776","0.7707","144,316,780"
"04/23/2024","25.81","26.8075","25.745","26.595","4.458","4.2511","151,835,060"
"04/22/2024","25.19","25.8849","24.585","25.46","2.9103","2.7033","142,604,740"
"04/19/2024","26.14","26.235","24.425","24.74","-6.1991","-6.406","250,807,600"
"04/18/2024","26.945","27.28","26.255","26.375","-1.7874","-1.9943","172,781,540"
"04/17/2024","28.27","28.275","26.675","26.855","-3.711","-3.9179","171,026,360"
"04/16/2024","27.845","28.405","27.62","27.89","0.0179","-0.189","163,766,120"
"04/15/2024","30.1","30.115","27.72","27.885","-5.0238","-5.2308","203,656,200"
"04/12/2024","29.94","30.175","29.06","29.36","-4.8298","-5.0367","172,589,800"
"04/11/2024","29.805","31.03","29.3418","30.85","4.7005","4.4936","146,931,180"
"04/10/2024","29.18","29.6375","29.03","29.465","-2.6272","-2.8342","202,080,600"
"04/09/2024","30.405","30.4675","29.2875","30.26","1.0351","0.8281","120,311,880"
"04/08/2024","30.105","30.33","29.656","29.95","0.0668","-0.1401","89,725,420"
"04/05/2024","29.2","30.4643","29.0275","29.93","3.5282","3.3213","154,897,260"
"04/04/2024","31.175","31.305","28.87","28.91","-4.7132","-4.9202","167,520,380"
